id,name,type,frequency,ac,damageBase,damageType,range,effect,createdAt,updatedAt
269,Dig,Ground,EOT,2,8,Physical,"Burst 1, Set-Up, Full Action, Groundsource","The user may shift horizontally using their burrow or overland speed, and then shifts 25 meters straight up. Upon reaching the surface, the user attacks with Dig, creating a Burst 1.",3/5/2021 22:15:12,3/5/2021 22:15:12
270,Drill Run,Ground,At-Will,3,8,Physical,"Melee, 1 Target",Drill Run is a Critical Hit on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
271,Earth Power,Ground,EOT,2,9,Special,"6, 1 Target, Groundsource",Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16+.,3/5/2021 22:15:12,3/5/2021 22:15:12
272,Earthquake,Ground,Scene,2,10,Physical,"Burst 3, Groundsource","Earthquake can hit targets that are underground, including those using the Move Dig.",3/5/2021 22:15:12,3/5/2021 22:15:12
273,Fissure,Ground,Daily,,,Status,"5, 1 Target, Execute, Groundsource","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level.",3/5/2021 22:15:12,3/5/2021 22:15:12
274,Land’s Wrath,Ground,Scene x2,2,9,Physical,"Burst 5, Friendly, Groundsource",None.,3/5/2021 22:15:12,3/5/2021 22:15:12
275,Magnitude,Ground,EOT,2,,Physical,"Burst 2, Groundsource","When you use Magnitude, roll 1d6. Magnitude’s Damage Base is equal to 5+X, where X is the value of the d6. Magnitude can hit targets that are underground, including those using the Move Dig.",3/5/2021 22:15:12,3/5/2021 22:15:12
276,Mud Bomb,Ground,At-Will,4,7,Special,"6, 1 Target",The target’s Accuracy is lowered by -1 on 16+.,3/5/2021 22:15:12,3/5/2021 22:15:12
277,Mud Shot,Ground,At-Will,3,6,Special,"3, 1 Target",The target’s Speed is lowed by -1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
278,Mud Sport,Ground,EOT,,,Status,Burst 2,"All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Electric Type Moves. After a target has been hit by a damaging Electric Type Move, the coat is removed.",3/5/2021 22:15:12,3/5/2021 22:15:12
279,Mud-Slap,Ground,At-Will,2,2,Special,"3, 1 Target",The target’s Accuracy is lowered by -1.,3/5/2021 22:15:12,3/5/2021 22:15:12
280,Precipice Blades,Ground,Scene x2,5,12,Physical,"Burst 1, Smite",None.,3/5/2021 22:15:12,3/5/2021 22:15:12
281,Rototiller,Ground,Scene,,,Status,Burst 2,All Grass-type Pokémon in the area raise their Attack and Special Attack 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
282,Sand Tomb,Ground,Scene x2,4,4,Physical,"5, 1 Target",The target is put in a Vortex.,3/5/2021 22:15:12,3/5/2021 22:15:12
283,Sand Attack,Ground,EOT,2,,Status,"2, 1 Target",The target is Blinded until the end of their next turn.,3/5/2021 22:15:12,3/5/2021 22:15:12
284,Spikes,Ground,At-Will,,,Status,"6, Hazard","Set 8 square meters of Spikes within your range, all 8 meters must be adjacent with at least one other space of Spikes. Spikes cause terrain to count as Slow Terrain, and a grounded foe that runs into the hazards will lose a Tick of Hit Points and become Slowed until the end of their next turn.",3/5/2021 22:15:12,3/5/2021 22:15:12
285,Aurora Beam,Ice,At-Will,2,7,Special,"6, 1 Target",Aurora Beam lowers the target’s Attack 1 Combat Stage on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
286,Avalanche,Ice,EOT,2,6,Physical,"Melee, 1 Target","When declaring Avalanche, the user does nothing and may not Shift. At the end of the round, the user Shifts and uses Avalanche on any legal target. If the target damaged the user this round, Avalanche has a Damage Base of 12 (4d10+15 / 40) instead.",3/5/2021 22:15:12,3/5/2021 22:15:12
287,Blizzard,Ice,Scene x2,7,11,Special,"4, Ranged Blast 2, Smite","Blizzard Freezes all legal target on 15+. If the target is in Hailing Weather, Blizzard cannot miss.",3/5/2021 22:15:12,3/5/2021 22:15:12
288,Freeze-Dry,Ice,EOT,2,7,Special,"6, 1 Target.","When calculating Weakness and Resistance for Freeze-Dry, Water-Typed targets calculate damage as if Water was weak to Ice.",3/5/2021 22:15:12,3/5/2021 22:15:12
289,Freeze Shock,Ice,Scene,4,14,Physical,"10, Single Target, Set-Up, Full Action",The user uses Freeze Shock. Freeze Shock paralyzes on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
290,Frost Breath,Ice,EOT,3,6,Special,"4, 1 Target","If Frost Breath hits, it is a Critical Hit.",3/5/2021 22:15:12,3/5/2021 22:15:12
291,Glaciate,Ice,EOT,3,7,Special,Burst 2,"All Legal Targets have their Speed lowered 1 Combat Stage. On an Even-Numbered Roll, all Legal Targets on the ground are Slowed.",3/5/2021 22:15:12,3/5/2021 22:15:12
292,Hail,Ice,Daily x2,,,Status,"Field, Weather","The weather changes to Hail for 5 rounds. While it is Hailing, all non-Ice Type Pokémon lose a Tick of Hit Points at the beginning of their turn.",3/5/2021 22:15:12,3/5/2021 22:15:12
293,Haze,Ice,Scene x2,,,Status,Field,The Combat Stages of the user and all Pokémon and Trainers in the encounter are set to their default state (usually 0).,3/5/2021 22:15:12,3/5/2021 22:15:12
294,Ice Ball,Ice,At-Will,4,3,Physical,"Melee, 1 Target","The user continues to use Ice Ball on each of its turns until they miss any target with Ice Ball, or are not able to hit any target with Ice Ball during their turn. Each successive use of Ice Ball increases Ice Ball’s Damage Base by +3 to a maximum of DB 15.",3/5/2021 22:15:12,3/5/2021 22:15:12
295,Ice Beam,Ice,EOT,2,9,Special,"4, 1 Target",Ice Beam Freezes on 19+ during Accuracy Check.,3/5/2021 22:15:12,3/5/2021 22:15:12
296,Ice Burn,Ice,Scene,4,14,Special,"10, Single Target, Set-Up, Full Action",The user uses Ice Burn. Ice Burn Burns on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
297,Ice Fang,Ice,At-Will,3,7,Physical,"Melee, 1 Target","Ice Fang Freezes or Flinches on 18+ during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches.",3/5/2021 22:15:12,3/5/2021 22:15:12
298,Ice Punch,Ice,At-Will,2,8,Physical,"Melee, 1 Target",Ice Punch Freezes the target on 19+ during Accuracy Check.,3/5/2021 22:15:12,3/5/2021 22:15:12
299,Ice Shard,Ice,At-Will,2,4,Physical,"4, 1 Target, Priority",None,3/5/2021 22:15:12,3/5/2021 22:15:12
300,Icicle Crash,Ice,EOT,4,8,Physical,"6, 1 Target",Icicle Crash Flinches the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
301,Icicle Spear,Ice,EOT,4,3,Physical,"6, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
302,Icy Wind,Ice,EOT,3,6,Special,Cone 2,All Legal Targets have their Speed lowered 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
303,Mist,Ice,Scene x2,,,Status,Blessing,"Blessing – Any user affected by Mist may activate it when having Combat Stages lowered by any effect; if they do, those Combat Stages are instead not lowered. Mist may be activated 3 times, and then disappears.",3/5/2021 22:15:12,3/5/2021 22:15:12
304,Powder Snow,Ice,At-Will,2,4,Special,Line 4,Powder Snow Freezes all Legal Targets on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
305,Sheer Cold,Ice,Daily,,,Status,"4, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level.",3/5/2021 22:15:12,3/5/2021 22:15:12
306,Acupressure,Normal,EOT,2,,Status,"Melee, 1 Target or Self","Roll 1d6. On a result of 1, raise the target’s Attack 2 Combat Stages. On a result of 2, raise the target’s Defense 2 Combat Stages. On a result of 3, raise the target’s Special Attack 2 Combat Stages. On a result of 4, raise the target’s Special Defense 2 Combat Stages. On a result of 5, raise the target’s Speed 2 Combat Stages. On a result of 6, raise the target’s Accuracy by +2.",3/5/2021 22:15:12,3/5/2021 22:15:12
307,After You,Normal,Scene x2,,,Status,"6, 1 Target","After You is a Swift Action. The target takes their turn for the round immediately after the user finishes their turn, ignoring Initiative. After You may only affect a target that has not yet acted that round and can only affect willing targets.",3/5/2021 22:15:12,3/5/2021 22:15:12
308,Assist,Normal,Scene x2,,,Status,Self,Randomly select another Pokémon on the user’s roster and then randomly select a Move that Pokémon knows. Assist’s user uses that Move immediately.,3/5/2021 22:15:12,3/5/2021 22:15:12
309,Attract,Normal,Scene x2,2,,Status,"3, 1 Target, Social",Attract Infatuates the target if its gender is the opposite of the user’s. Attract fails when used by or against Genderless targets.,3/5/2021 22:15:12,3/5/2021 22:15:12
310,Barrage,Normal,At-Will,4,2,Physical,"6, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
311,Baton Pass,Normal,At-Will,,,Status,Self,"The user is replaced with another Pokémon from their trainer’s roster. All Combat Stage, Coats, and [Stratagems] on Baton Pass’ user are transferred to the replacement. Baton Pass may be used to switch even if the user is Trapped.",3/5/2021 22:15:12,3/5/2021 22:15:12
312,Belly Drum,Normal,Scene,,,Status,Self,"The user gains +6 Attack Combat Stages, and loses Hit Points equal to ½ of their Max Hit Points.",3/5/2021 22:15:12,3/5/2021 22:15:12
313,Bestow,Normal,At-Will,,,Status,"Melee, 1 Target","The user gives its held item to the target, unless the target is already holding an item. Using Bestow is a Swift Action.",3/5/2021 22:15:12,3/5/2021 22:15:12
314,Bide,Normal,Scene,,,Physical,"Burst 1, Friendly","The user may use Bide as a Reaction Move upon being Hit by a Damaging Move. During their next available turn, the user may Shift and then use Bide, causing all Adjacent foes to lose X HP, where X is the amount of Damage taken since declaring use of Bide (Loss of life through effects such as Poison is not ‘Damage’).",3/5/2021 22:15:12,3/5/2021 22:15:12
315,Bind,Normal,Static,,,Static,Static,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",3/5/2021 22:15:12,3/5/2021 22:15:12
316,Block,Normal,At-Will,2,,Status,"Melee, 1 Target",The target is Stuck and Trapped until the beginning of your next turn.,3/5/2021 22:15:12,3/5/2021 22:15:12
317,Body Slam,Normal,Scene x2,2,9,Physical,"Melee, 1 Target",Body Slam Paralyzes the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
318,Boomburst,Normal,Scene,2,14,Special,"Burst 1, Sonic",None,3/5/2021 22:15:12,3/5/2021 22:15:12
319,Camouflage,Normal,EOT,,,Status,Self,"The user changes their Type to match the field. Forests and grassy areas change the user into Grass- Type. Watery areas change the user into Water-Type. Caves and Mountains could change the user into Rock- Type or Ground-Type. An icy terrain would turn the user into Ice-Type. A building may change the user into Steel-Type or Normal-Type. Weather affects what Type the user becomes. Use common sense, if you are having difficult determining what type the user should become, consult the GM.",3/5/2021 22:15:12,3/5/2021 22:15:12
320,Captivate,Normal,Scene,2,,Status,"Cone 2, Friendly, Social",Captivate lowers the target’s Special Attack 2 Combat Stages. Captivate may not affect something that is the same gender as the user or something that is genderless.,3/5/2021 22:15:12,3/5/2021 22:15:12
321,Chip Away,Normal,EOT,2,7,Physical,"Melee, 1 Target","Ignore any Armor, Damage Reduction, or changes in the target’s Defense or Special Defense (such as from Combat Stages) when calculating damage.",3/5/2021 22:15:12,3/5/2021 22:15:12
322,Comet Punch,Normal,At-Will,4,2,Physical,"Melee, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
323,Confide,Normal,At-Will,2,,Status,"4, 1 Target, Social",The target’s Special Attack is lowered 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
324,Constrict,Normal,At-Will,2,1,Physical,"Melee, 1 Target","Constrict lowers the target’s Speed 1 Combat Stage. Constrict may be used as a Swift Action against targets the user is Grappling, and automatically hits when performed this way.",3/5/2021 22:15:12,3/5/2021 22:15:12
325,Conversion,Normal,At-Will,,,Status,Self,The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types.,3/5/2021 22:15:12,3/5/2021 22:15:12
326,Conversion2,Normal,At-Will,,,Status,Self,The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types.,3/5/2021 22:15:12,3/5/2021 22:15:12
327,Copycat,Normal,Scene x2,,,Status,"4, 1 Target",Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
328,Covet,Normal,At-Will,2,6,Physical,"Melee, 1 Target","Covet takes the target’s Held Item or Accessory Slot Item and attaches it to Covet’s user, if the user is not holding anything.",3/5/2021 22:15:12,3/5/2021 22:15:12
329,Crush Claw,Normal,EOT,3,7,Physical,"Melee, 1 Target, Dash",Crush Claw lowers the target’s Defense 1 Combat Stage on Even-Numbered Rolls.,3/5/2021 22:15:12,3/5/2021 22:15:12
330,Crush Grip,Normal,Scene,2,12,Physical,"Melee, 1 Target","For every 10% the target is below their full Hit Points, Crush Grip’s Damage Base is reduced by 1.",3/5/2021 22:15:12,3/5/2021 22:15:12
331,Cut,Normal,At-Will,3,5,Physical,"Melee, Pass",Cut ignores up to 5 Damage Reduction (Defenses are not Damage Reduction).,3/5/2021 22:15:12,3/5/2021 22:15:12
332,Defense Curl,Normal,At-Will,,,Status,Self,"The user’s Defense is raised 1 Combat Stage and
they become. Curled Up until the end of the Scene or
they are Recalled or Take a Breather. When using the
Moves Rollout or Ice Ball while Curled Up, the user
gains a +10 bonus to the damage rolls of those Moves.",3/5/2021 22:15:12,3/5/2021 22:15:12
333,Disable,Normal,Scene,,,Status,"1 Target, Trigger",Disable may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker.,3/5/2021 22:15:12,3/5/2021 22:15:12
334,Dizzy Punch,Normal,At-Will,2,7,Physical,"Melee, 1 Target",Dizzy Punch Confuses the target on 17+,3/5/2021 22:15:12,3/5/2021 22:15:12
335,Double Hit,Normal,EOT,3,4,Physical,"Melee, 1 Target, Double Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
336,Double Team,Normal,Scene,,,Status,"Self, Illusion, Coat",The user gains 3 activations of Double Team. The user may either activate Double Team when being targeted by an attack to increase their Evasion by +2 against that attack; or when making an attack to increase their Accuracy by +2 for that attack.,3/5/2021 22:15:12,3/5/2021 22:15:12
337,Double-Edge,Normal,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None,3/5/2021 22:15:12,3/5/2021 22:15:12
338,Double Slap,Normal,At-Will,4,2,Physical,"Melee, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
339,Echoed Voice,Normal,EOT,2,4,Special,"3, 1 Target, Sonic","If Echoed Voice was used by any Pokémon or Trainer in the Encounter on the previous round, increase its Damage Base by +4. If Echoed Voice was used by any Pokémon or Trainers during both the previous two rounds, increase its Damage Base by +8.",3/5/2021 22:15:12,3/5/2021 22:15:12
340,Egg Bomb,Normal,Scene x2,6,10,Physical,"5, Blast 2",None.,3/5/2021 22:15:12,3/5/2021 22:15:12
341,Encore,Normal,Scene x2,2,,Status,"4, 1 Target, Social","Roll 1d6. On a result of 1 or 2, the target becomes Confused; on a result of 3 or 4 the target becomes Suppressed; on a result of 5 or 6 the target becomes Enraged.",3/5/2021 22:15:12,3/5/2021 22:15:12
342,Endeavor,Normal,Scene,2,,Physical,"Melee, 1 Target, Dash",The target loses a Tick of Hit Points for each Injury the user has.,3/5/2021 22:15:12,3/5/2021 22:15:12
343,Endure,Normal,Daily,,,Status,"Self, Reaction, Trigger","If the user is hit by a damaging Move, you may use Endure as a Free Action. If the Move would bring Endure’s user down to 0 Hit Points or less, Endure’s user instead is set to 1 Hit Point.",3/5/2021 22:15:12,3/5/2021 22:15:12
344,Entrainment,Normal,Scene,2,,Status,"4, 1 Target",The target gains one of the user’s Abilities for 3 turns.,3/5/2021 22:15:12,3/5/2021 22:15:12
345,Explosion,Normal,Daily,2,25,Physical,Burst 2,The user’s Hit Points are set to -50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way. The user’s loyalty toward its trainer may be lowered.,3/5/2021 22:15:12,3/5/2021 22:15:12
346,Extreme Speed,Normal,EOT,2,8,Physical,"Melee, 1 Target, Dash, Priority",None,3/5/2021 22:15:12,3/5/2021 22:15:12
347,Façade,Normal,EOT,2,7,Physical,"Melee, 1 Target","If the user is afflicted with a Persistent Status Affliction, Façade’s Damage Base is doubled to DB 14 (4d10+15 / 40).",3/5/2021 22:15:12,3/5/2021 22:15:12
348,Fake Out,Normal,At-Will,2,4,Physical,"Melee, 1 Target, Priority","You may only use Fake Out with Priority upon joining an encounter; if you do, Fake Out Flinches the target. Switching out resets the requirement of joining an encounter.",3/5/2021 22:15:12,3/5/2021 22:15:12
349,False Swipe,Normal,At-Will,2,4,Physical,"Melee, Pass",False Swipe’s damage cannot bring a target lower than 1 Hit Point.,3/5/2021 22:15:12,3/5/2021 22:15:12
350,Feint,Normal,Scene,,,Status,Trigger,"If a foe uses a Move with the Shield Keyword in response to one of your actions, you may activate Feint to cause the triggering Move to Fail. Feint is activated as a Free Action.",3/5/2021 22:15:12,3/5/2021 22:15:12
351,Flail,Normal,EOT,2,7,Physical,"Melee, 1 Target","For each Injury the user has, Flail’s Damage Base is increased by +1.",3/5/2021 22:15:12,3/5/2021 22:15:12
352,Flash,Normal,EOT,2,,Status,Cone 2,The Accuracy of all Legal Targets is lowered by 1.,3/5/2021 22:15:12,3/5/2021 22:15:12
353,Focus Energy,Normal,At-Will,,,Status,Self,"The user becomes Pumped. While Pumped, the user’s Critical Range is extended by 2, or 18+ if the Critical Range is not otherwise extended. Being switched will cause this effect to end.",3/5/2021 22:15:12,3/5/2021 22:15:12
354,Follow Me,Normal,Scene,,,Status,"Burst 5, Social","Until the end of the user’s next turn, all Foes must target the user when using a Move that targets their opponents. This effect ends if the user is Fainted or Switched out.",3/5/2021 22:15:12,3/5/2021 22:15:12
355,Foresight,Normal,Scene x2,,,Status,"Self, Swift Action","Foresight may be activated as a Swift Action on the user’s turn. For the rest of the turn, the user’s Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",3/5/2021 22:15:12,3/5/2021 22:15:12
356,Frustration,Normal,At-Will,2,,Physical,"Melee, 1 Target",Frustration’s Damage Base is equal to 9 minus the user’s Loyalty Value. Using Frustration may make your Pokémon dislike you.,3/5/2021 22:15:12,3/5/2021 22:15:12
357,Fury Attack,Normal,At-Will,4,2,Physical,"Melee, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
358,Fury Swipes,Normal,EOT,5,3,Physical,"Melee, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
359,Giga Impact,Normal,Daily x2,4,15,Physical,"Melee, 1 Target, Dash, Exhaust, Smite",None,3/5/2021 22:15:12,3/5/2021 22:15:12
360,Glare,Normal,Scene x2,2,,Status,"4, 1 Target, Social",Glare Paralyzes the target.,3/5/2021 22:15:12,3/5/2021 22:15:12
361,Growl,Normal,At-Will,2,,Status,"Burst 1, Friendly, Sonic, Social",Growl lowers all Legal Targets Attack 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
362,Growth,Normal,EOT,,,Status,Self,"Raise the user’s Attack 1 Combat Stage and raise the user’s Special Attack 1 Combat Stage. If it is Sunny, double the amount of Combat Stages gained.",3/5/2021 22:15:12,3/5/2021 22:15:12
363,Guillotine,Normal,Daily,,,Status,"Melee, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level.",3/5/2021 22:15:12,3/5/2021 22:15:12
364,Harden,Normal,At-Will,,,Status,Self,Raise the user’s Defense 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
365,Headbutt,Normal,EOT,2,7,Physical,"Melee, 1 Target",Headbutt Flinches the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
366,Head Charge,Normal,Scene x2,2,12,Physical,"Melee, 1 Target, Push, Recoil 1/3",The target is Pushed back 2 meters.,3/5/2021 22:15:12,3/5/2021 22:15:12
367,Heal Bell,Normal,Scene,,,Status,"Burst 3, Sonic",All targets are cured of any Persistent Status ailments.,3/5/2021 22:15:12,3/5/2021 22:15:12
368,Helping Hand,Normal,EOT,,,Status,"4, 1 Target, Priority","Helping Hand grants the target +2 on their next Accuracy Roll this round, and +10 to the next Damage Roll this round.",3/5/2021 22:15:12,3/5/2021 22:15:12
369,Hidden Power,Normal,EOT,2,6,Special,Burst 1,"When a Pokémon first obtains the Move Hidden Power, roll 1d20. Hidden Power’s Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fairy on 5; Fighting on 6; Fire on 7; Flying on 8; Ghost on 9; Grass on 10; Ground on 11; Ice on 12; Normal on 13; Poison on 14; Psychic on 15; Rock on 16; Steel on 17; Water on 18; and on 19 or 20, reroll until you roll another number. This effect is permanent –if Hidden Power is forgotten and relearned, the chosen Type remains the same.",3/5/2021 22:15:12,3/5/2021 22:15:12
370,Hold Hands,Normal,Scene x2,,,Status,"Melee, 1 Target","The target and the user each gain three Ticks of Temporary Hit Points, and a +2 Bonus to Save Checks for 1 full round.",3/5/2021 22:15:12,3/5/2021 22:15:12
371,Horn Attack,Normal,At-Will,2,7,Physical,"Melee, 1 Target, Dash",None,3/5/2021 22:15:12,3/5/2021 22:15:12
372,Horn Drill,Normal,Daily,,,Status,"Melee, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level.",3/5/2021 22:15:12,3/5/2021 22:15:12
374,Hyper Beam,Normal,Daily x2,4,15,Special,"10, 1 Target, Exhaust, Smite",None,3/5/2021 22:15:12,3/5/2021 22:15:12
375,Hyper Fang,Normal,At-Will,4,8,Physical,"Melee, 1 Target",Hyper Fang Flinches the target on 19+,3/5/2021 22:15:12,3/5/2021 22:15:12
376,Hyper Voice,Normal,Scene x2,2,9,Special,"Close Blast 3, Sonic, Smite","All Legal Targets are pushed back to the squares immediately outside the blast, away from the user.",3/5/2021 22:15:12,3/5/2021 22:15:12
377,Judgment,Normal,Daily,2,10,Special,"6, Ranged Blast 3, Smite",Judgment’s Type can be whatever Elemental Type the user wants it to be.,3/5/2021 22:15:12,3/5/2021 22:15:12
378,Last Resort,Normal,At-Will,2,14,Physical,"Melee, 1 Target, Dash","Last Resort can only be used after the user has performed 5 other different Moves in its Move List during a single fight, without being switched out.",3/5/2021 22:15:12,3/5/2021 22:15:12
379,Leer,Normal,At-Will,2,,Status,"Cone 2, Friendly, Social",All legal targets have their Defense lowered by 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
380,Lock-On,Normal,At-Will,,,Status,"10, 1 Target","The target is Locked-On. The next Move that the user uses against the Target that requires an Accuracy Check cannot miss. Lock-On’s effect, on both the User and Target, is passed on by Baton Pass.",3/5/2021 22:15:12,3/5/2021 22:15:12
381,Lovely Kiss,Normal,Scene x2,6,,Status,"6, 1 Target, Social",The target falls Asleep.,3/5/2021 22:15:12,3/5/2021 22:15:12
382,Lucky Chant,Normal,Scene,,,Status,Blessing,"Blessing – Any user affected by Lucky Chant may activate it when receiving a Critical Hit to cause the attack to instead deal damage as if it was not a Critical Hit. Lucky Chant may be activated 3 times, and then disappears.",3/5/2021 22:15:12,3/5/2021 22:15:12
383,Me First,Normal,Scene,,,Status,"Self, Trigger, Interrupt","If an opponent declares a Damaging Attack against the user, and Me First’s user has a higher Speed stat then the target, the user may use Me First as an Interrupt. The User will then use the same Move the triggering foe was about to use on that foe.",3/5/2021 22:15:12,3/5/2021 22:15:12
384,Mean Look,Normal,Scene,,,Status,"6, 1 Target, Social","The user casts a foul spell on the target, causing it to become Trapped and Slowed for the remainder of the encounter.",3/5/2021 22:15:12,3/5/2021 22:15:12
385,Mega Kick,Normal,Scene x2,6,12,Physical,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 2 meters.,3/5/2021 22:15:12,3/5/2021 22:15:12
386,Mega Punch,Normal,At-Will,4,8,Physical,"Melee, 1 Target",None,3/5/2021 22:15:12,3/5/2021 22:15:12
387,Metronome,Normal,Scene x2,,,Status,Self,"Metronome randomly uses any other Move except for After You, Assist, Bestow, Copycat, Counter, Covet, Crafty Shield, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, King’s Shield, Metronome, Me First, Mimic, Mirror Coat, Mirror Move, Protect, Quash, Quick Guard, Rage Powder, Sketch, Sleep Talk, Snatch, Snore, Spiky Shield, Switcheroo, Thief, Transform, Trick, and Wide Guard. The GM helps to pick the random Move.",3/5/2021 22:15:12,3/5/2021 22:15:12
388,Milk Drink,Normal,Daily x2,,,Status,"Melee, 1 Target",The target regains Hit Points equal to half of its full Hit Point value. The user may target themselves with Milk Drink.,3/5/2021 22:15:12,3/5/2021 22:15:12
389,Mimic,Normal,Scene,,,Status,"6, 1 Target","Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the user’s Move List. Mimic cannot miss.",3/5/2021 22:15:12,3/5/2021 22:15:12
390,Mind Reader,Normal,Scene,,,Status,"6, 1 Target","The target becomes Read to the user until the end of the user’s next turn. The user may end this effect when making an Attack on the user, causing that attack to automatically hit; OR when the Read target uses an Attack against the user, causing that attack to automatically miss. If the user has the Telepathy Capability, the user automatically succeeds on a mindreading attempt against the target, and may listen to the target’s surface thoughts as long as they remain Read. Mind Reader automatically misses against targets with the Mindlock Capability.",3/5/2021 22:15:12,3/5/2021 22:15:12
391,Minimize,Normal,Scene,,,Status,Self,"The user gains +4 Evasion, and user’s size is lowered to Small for the remainder of the encounter.",3/5/2021 22:15:12,3/5/2021 22:15:12
392,Morning Sun,Normal,Daily x2,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value.",3/5/2021 22:15:12,3/5/2021 22:15:12
393,Natural Gift,Normal,Scene,2,,Physical,"6, 1 Target, Berry",Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift’s Type is also defined there. The Berry’s Digestion Buff is nullified and is not used.,3/5/2021 22:15:12,3/5/2021 22:15:12
394,Nature Power,Normal,EOT,,,Status,See Effect,Nature Power uses a Move defined by the Environ keyword.,3/5/2021 22:15:12,3/5/2021 22:15:12
395,Noble Roar,Normal,EOT,2,,Status,"Burst 1, Sonic, Friendly, Social",Noble Roar lowers all targets’ Attack and Special Attack by 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
396,Odor Sleuth,Normal,Scene x2,,,Status,"Self, Swift Action","Odor Sleuth may be activated as a Swift Action on the user’s turn. For the rest of the turn, the user’s Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",3/5/2021 22:15:12,3/5/2021 22:15:12
397,Pain Split,Normal,Daily x2,,,Status,"4, 1 Target","The user and the target both lose ½ of their current Hit Points. Add the amount of Hit Points the user and the target lost together, and divide the value by 2. Both the target and the user gain Hit Points equal to this value. Do not add Injuries from Pain Split from Hit Point Markers until the full effect of the Move has been resolved. Pain Split never causes Massive Damage. Hit Point loss from Pain Split cannot be prevented in any way",3/5/2021 22:15:12,3/5/2021 22:15:12
