id,name,frequency,actionType,trigger,target,effect,createdAt,updatedAt
257,Oblivious,Static,,,,The user is immune to the Enraged and Infatuated conditions.,3/7/2021 0:43:28,3/7/2021 0:43:28
258,Odious Spray,Static,,,,"Connection - Poison Gas. The user may use Poison Gas as if it had a Range “8, 1 Target”, an AC of 2, and Flinched its target when it hit.",3/7/2021 0:43:28,3/7/2021 0:43:28
259,Omen,Scene,Swift Action,,,Choose a Pokémon or Trainer within 5 meters. The target’s Accuracy is lowered by 2.,3/7/2021 0:43:28,3/7/2021 0:43:28
260,Overcharge,Static,,,,The user gains Last Chance with Electric.,3/7/2021 0:43:28,3/7/2021 0:43:28
261,Overcoat,Static,,,,"The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that would normally cause it to take damage.",3/7/2021 0:43:28,3/7/2021 0:43:28
262,Overgrow,Static,,,,The user gains Last Chance with Grass.,3/7/2021 0:43:28,3/7/2021 0:43:28
263,Own Tempo,Static,,,,The user is immune to Confusion.,3/7/2021 0:43:28,3/7/2021 0:43:28
264,Pack Hunt,At-Will,Free Action,An adjacent foe is damaged by an ally’s Melee Attack,,"The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses a Tick of Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
265,Parental Bond,Static,,,,"Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this Ability, the Baby gains 10 Damage Reduction, and will leave its mother’s pouch and may be commanded to take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction and +5 to Damage Rolls for the remainder of the Scene.",3/7/2021 0:43:28,3/7/2021 0:43:28
266,Parry,Scene,Free Action,The user is hit by a Melee Attack,,The attack instead misses.,3/7/2021 0:43:28,3/7/2021 0:43:28
267,Pastel Veil,Static,,,,The user and allies within 3 meters cannot be  Poisoned or Badly Poisoned.,3/7/2021 0:43:28,3/7/2021 0:43:28
268,Perception,Static,,,,"The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves.",3/7/2021 0:43:28,3/7/2021 0:43:28
269,Perish Body,Daily,Standard Action,(Reaction) The user is hit with a Melee attack,,"The triggering creature and the user each receive a Perish Count of 3. At the beginning of each of the target’s turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the Pokémon’s Hit Points to 0. A Perish Count disappears if a target returns to their Poké Ball, Takes a Breather, or is knocked out. Perish Body never causes Massive Damage.",3/7/2021 0:43:28,3/7/2021 0:43:28
270,Permafrost,Static,,,,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed.",3/7/2021 0:43:28,3/7/2021 0:43:28
271,Photosynthesis,Daily,Extended Action,,,"If the user is allowed to bask in normal sunlight for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",3/7/2021 0:43:28,3/7/2021 0:43:28
272,Pickpocket,Scene,Free Action,The user is hit by an opponent with a Melee Move,,"If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding.",3/7/2021 0:43:28,3/7/2021 0:43:28
273,Pickup,Daily,Extended Action,,,"You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup keyword to figure out what you find!",3/7/2021 0:43:28,3/7/2021 0:43:28
274,Pixilate,At-Will,Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Fairy-Type.,3/7/2021 0:43:28,3/7/2021 0:43:28
275,Plus,Scene x2,Free Action,(Reaction) An ally within 10m has Combat Stages raised,,The target gains an additional Combat Stage in one stat raised by the triggering effect.,3/7/2021 0:43:28,3/7/2021 0:43:28
276,Poison Heal,Daily,Free Action,The user becomes Poisoned,,"For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being Poisoned.",3/7/2021 0:43:28,3/7/2021 0:43:28
277,Poison Point,Scene,Free Action,The user is hit by a Melee Move,,The attacking foe is Poisoned.,3/7/2021 0:43:28,3/7/2021 0:43:28
278,Poison Touch,Static,,,,"The Pokémon’s Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of Poisoning foes, Poison Touch increases the effect range by +2.",3/7/2021 0:43:28,3/7/2021 0:43:28
279,Poltergeist,Static,,,,"Rotom gains an Ability depending on what Form it has taken. If Rotom is level 40 or higher, it also may use a Move based on its Forme as if it that Move was on their Move List. Ability Move Standard Rotom: Levitate None Heat Rotom: Flash Fire Overheat Wash Rotom: Water Absorb Hydro Pump Frost Rotom: Winter’s Kiss Blizzard Fan Rotom: Windveiled Hurricane Mow Rotom: Sap Sipper Leaf Storm",3/7/2021 0:43:28,3/7/2021 0:43:28
280,Polycephaly,Static,,,,The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step further than they normally would be.,3/7/2021 0:43:28,3/7/2021 0:43:28
281,Power of Alchemy,Scene,Free Action,,A Trainer or Pokémon within 10 meters,"The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted.",3/7/2021 0:43:28,3/7/2021 0:43:28
282,Power Spot,Static,,,,Allies within 2m of the user gain a +5 bonus  to damage rolls.,3/7/2021 0:43:28,3/7/2021 0:43:28
283,Prankster,Static,,,,The user may use Status Moves as Priority (Advanced).,3/7/2021 0:43:28,3/7/2021 0:43:28
284,Pressure,Scene,Swift Action,,,All foes within 3 meters are Suppressed for 1 full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
285,Pride,Static,,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s",3/7/2021 0:43:28,3/7/2021 0:43:28
286,Prime Fury,Scene,Swift Action,,,"The user becomes Enraged, and gains +1 Combat Stage in each of Attack and",3/7/2021 0:43:28,3/7/2021 0:43:28
287,Prism Armor,Static,,,,The user gains +5 Damage Reducation against Super Effective-Damage.,3/7/2021 0:43:28,3/7/2021 0:43:28
288,Probability Control,Scene,Free Action,,Any roll made by yourself or an ally.,"The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable Psychic residue.",3/7/2021 0:43:28,3/7/2021 0:43:28
289,Propeller Tail,Scene,Swift Action,,,"The user may make a Sprint Maneuver as a  Free Action. Bonus: The user may not be Intercepted, nor may  any Abilities, Moves, or Features be activated to  change the user’s target. Any of those existing  effects (such as Follow Me) fail.",3/7/2021 0:43:28,3/7/2021 0:43:28
290,Protean,At-Will,Swift Action,The user uses a Move,,"The user’s Type changes to match the Type of the triggering Move. This Ability resolves before the Move is resolved (And thus you may apply STAB, and trigger other Features and Abilities appropriately).",3/7/2021 0:43:28,3/7/2021 0:43:28
291,Psychic Surge,Scene x3,Swift Action,,,"The Field becomes Weird, as if affected by the Move Psychic Terrain, for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
292,Pumpkingrab,Scene,Standard Action,,,The user automatically Grapples an adjacent foe and gains dominance.,3/7/2021 0:43:28,3/7/2021 0:43:28
293,Punk Rock,Static,,,,The user gains +2 DB to moves that have the  Sonic keyword. Bonus: The user resists moves with the Sonic  keyword one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
294,Pure Blooded,Static,,,,The user gains Last Chance with Dragon.,3/7/2021 0:43:28,3/7/2021 0:43:28
295,Pure Power,Static,,,,"The Pokémon’s base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features.",3/7/2021 0:43:28,3/7/2021 0:43:28
296,Queenly Majesty,Scene x2,Free Action,,,"Connection - Stomp - if an adjacent target uses a Priority Move or an Interrupt action, the user may attack that target with Stomp as a Free Action Interrupt. Bonus: The user cannot be targeted by Interrupt Moves and enemies may not activate Interrupts in response to the user’s actions.",3/7/2021 0:43:28,3/7/2021 0:43:28
297,Quick Cloak,At-Will,Standard Action,,,"Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak, using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak. While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage, or if Burmy makes a new Cloak.",3/7/2021 0:43:28,3/7/2021 0:43:28
298,Quick Curl,Scene,Free Action,,,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as an Standard Action Interrupt and gain +10 Damage Reduction for 1 full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
299,Quick Draw,Scene,Free Action,"(Interrupt) A foe uses a Move, and the user has not acted this round",,"The user immediately uses a Move on the triggering foe as a Standard Action Interrupt (this Move must still obey Frequency and Range). If this Move hits, the foe also gains a -2 penalty to their attack roll for the triggering attack, unless the foe cannot Flinch. Bonus: The user cannot be Flinched.",3/7/2021 0:43:28,3/7/2021 0:43:28
300,Quick Feet,Static,,,,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user’s Initiative is not halved by Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately.",3/7/2021 0:43:28,3/7/2021 0:43:28
301,Radiant Beam,Static,,,,"The user may use damaging Grass-Type attacks as if they had a range of ""Line 4"" instead of their usual range.",3/7/2021 0:43:28,3/7/2021 0:43:28
302,Ragelope,Static,,,,"The user’s Physical Attacks gain the following Effect Range: On 18+, the user becomes Enraged and gains +1 Speed CS. If the user is already Enraged, they gain +1 Attack CS instead.",3/7/2021 0:43:28,3/7/2021 0:43:28
303,Rain Dish,Daily x5,Swift Action,,,The user gains a Tick of Hit Points. Rain Dish may only be used while the user is under 50% Hit Points or in Rainy Weather.,3/7/2021 0:43:28,3/7/2021 0:43:28
304,Rally,Scene,Swift Action,,,"The user and all allies within 10 meters may immediately Disengage 1 Meter as a free Action. Rally does not work on sleeping, paralyzed, stuck, fainted, or otherwise incapacitated allies.",3/7/2021 0:43:28,3/7/2021 0:43:28
305,Rattled,At-Will,Free Action,"The user is hit by a Bug, Dark, or Ghost Type Move",,"The user’s Speed is raised by +1 Combat Stage, and may immediately Disengage as a Free Action.",3/7/2021 0:43:28,3/7/2021 0:43:28
306,Razor Edge,Static,,,,Connection - Poison Tail. The user’s Critical Hit Range on all Moves is increased by +2; any Moves with “Tail” in their name have their Critical Hit Range increased by +3 instead.,3/7/2021 0:43:28,3/7/2021 0:43:28
307,Receiver,Special,Free Action,,,"Each of the effects below may be used once per Scene when triggered; – When an ally faints, the user selects one of their Abilities. The user gains that Ability until the end of the encounter. – When the user faints, they may grant use of their Basic Ability to an ally on the field for the rest of the encounter.",3/7/2021 0:43:28,3/7/2021 0:43:28
308,Reckless,Static,,,,"Increases the Damage Base of Moves with the Exhaust, Recoil, or Reckless Keywords by +3. Reckless Moves: Jump Kick, Hi Jump Kick, Close Combat, Draco Meteor, Hammer Arm, Leaf Storm, Outrage, Overheat, Petal Dance, Psycho Boost, Superpower, Thrash, and V-Create.",3/7/2021 0:43:28,3/7/2021 0:43:28
309,Refreshing Veil,Scene,Free Action,,,"Connection – Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure themselves of all Persistent Status Effects.",3/7/2021 0:43:28,3/7/2021 0:43:28
310,Refrigerate,At-Will,Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Ice-Type.,3/7/2021 0:43:28,3/7/2021 0:43:28
311,Regal Challenge,Scene,Swift Action,,Pokémon or Trainer within 5 Meters,"Ask the target if they will show deference or defiance. If they choose Deference, the target loses their next Shift action and loses 3 CS in the Stat of the user’s choice. If they choose Defiance, the user gains a +10 Bonus to all Damage Rolls for the rest of the Scene.",3/7/2021 0:43:28,3/7/2021 0:43:28
312,Regenerator,Daily x2,Free Action,"The user is recalled into a Poké Ball, or Takes a Breather",,The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once per Scene.,3/7/2021 0:43:28,3/7/2021 0:43:28
313,Revelation,Scene x2,Free Action,Someone within 10 meters uses a damaging Dance Move,,"The user may immediately use the triggering Move as a Standard Action interrupt. Bonus: Whenever the user uses a Dance Move, they gain +2 to Accuracy Rolls until the end of their next turn.",3/7/2021 0:43:28,3/7/2021 0:43:28
314,Ripen,Static,,,,"Any numeric benefits of Berry Food Buffs the user trades in are doubled. (Oran Berries restore 10 HP, Liechi increases Attack by +2 CS, Jaboca causes ¼ Hit Point loss, Occa Weakens a Move 2 stages, etc.). This does not increase the number of statuses cured, Scene Moves restored, stats lowered by suppressants, or allow triggering at double the usual HP one must be at.",3/7/2021 0:43:28,3/7/2021 0:43:28
315,Rivalry,Static,,,,"Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by 5",3/7/2021 0:43:28,3/7/2021 0:43:28
316,RKS System,Scene,Free Action,,,"If the user is hit by a damaging attack, they may calculate damage as if they were Normal-Type instead. If they were already Normal-Type, they resist all damage one step further. Bonus: The user’s Type changes to match the Type of their held Memory Disc.",3/7/2021 0:43:28,3/7/2021 0:43:28
317,Rock Head,Static,,,,"The user ignores the Recoil keyword when attacking. If the user moves at least 4 meters in a straight line towards a foe before attacking that foe with a physical attack, they may add a +2d6 Bonus to the Damage Roll against that foe.",3/7/2021 0:43:28,3/7/2021 0:43:28
318,Rocket,Scene,Free Action,A Round begins,,"The user may take their turn at the top of the round. Priority, Interrupt, or Reaction Moves or Abilities cannot be declared in response to the user’s turn. Bonus: The user’s Sky capability is increased by +2",3/7/2021 0:43:28,3/7/2021 0:43:28
319,Root Down,At-Will,Shift Action,,,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain 5 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
320,Rough Skin,At-Will,Free Action,The user is hit by a damaging Melee Attack,,Effect: The attacker loses a tick of Hit Points.,3/7/2021 0:43:28,3/7/2021 0:43:28
321,Run Away,Static,,,,The user does not provoke Attacks of Opportunity by Shifting. The user cannot be Trapped.,3/7/2021 0:43:28,3/7/2021 0:43:28
322,Run Up,Static,,,,"If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of meters traveled in a direct line as Bonus Damage to a Damage Roll.",3/7/2021 0:43:28,3/7/2021 0:43:28
323,Sacred Bell,Static,,,,The user resists Dark and Ghost-Type Damage one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
324,Sand Force,Static,,,,"While on sandy terrain or in Sandstorms, the user’s Ground, Rock, and Steel-Typed damaging moves deal +5 Damage. Bonus: The user is immune to Hit Point loss from Sandstorms.",3/7/2021 0:43:28,3/7/2021 0:43:28
325,Sand Rush,Static,,,,"While in Sandstorming Weather or under 50% Max Hit Points, the user’s Initiative is doubled. Bonus: The user is immune to Hit Point loss from Sandstorms.",3/7/2021 0:43:28,3/7/2021 0:43:28
326,Sand Spit,Scene,Free Action,(Reaction) The user is damaged by an attack from a foe  within 2m,,Connection – Sand Attack. The user attacks  the triggering foe with Sand Attack as a Free Action.,3/7/2021 0:43:28,3/7/2021 0:43:28
327,Sand Stream,Scene x3,Swift Action,,,The Weather changes to a Sandstorm for 1 full round. Bonus: The user is immune to Hit Point loss from Sandstorms.,3/7/2021 0:43:28,3/7/2021 0:43:28
328,Sand Veil,Static,,,,"The user gains +1 Evasion. This is increased to +2 Evasion while in a Sandstorm or sandy terrain. While in a Sandstorm, the user and adjacent allies do not lose Hit Points due to the Sandstorm.",3/7/2021 0:43:28,3/7/2021 0:43:28
329,Sap Sipper,Static,,,,"Effect: The user is immune to the damage and effects of Grass Type attacks. If a damaging Grass Type attack hits the user, the user gains +1 Attack Combat Stage.",3/7/2021 0:43:28,3/7/2021 0:43:28
330,Schooling,Daily,Swift Action,,,"The user changes to Schooling Forme, and gains Temporary Hit Points equal to half of its own maximum Hit Points. The user cannot gain Temporary Hit Points from other sources while in Schooling Forme. When the user is both Bruised and has no Temporary Hit Points left, they change back into Solo Forme. Bonus: The user has two sets of base stats; Solo and Schooling. The HP of both forms must be the same.",3/7/2021 0:43:28,3/7/2021 0:43:28
331,Scrappy,Static,,,,Ghost Types are not immune to the user’s Normal and Fighting-Type Moves.,3/7/2021 0:43:28,3/7/2021 0:43:28
332,Screen Cleaner,Daily,Standard Action,,,"All Blessings on the field, both ally and enemy, are removed. Bonus: The user is immune to non-Blocking Hazards, and destroys them when moving over them. Blocking Hazards are treated instead as Slow Terrain for the purposes of movement only (the user may still not target through them), and are destroyed if moved through.",3/7/2021 0:43:28,3/7/2021 0:43:28
333,Seasonal,Static,,,,The user gains an Ability based on the season. - Spring: Run Away - Summer: Grass Pelt - Autumn: Rivalry - Winter: Thick Fat,3/7/2021 0:43:28,3/7/2021 0:43:28
334,Sequence,At-Will,Free Action,The user uses an Electric Attack,,"For every Electric-Type Pokémon adjacent to the user, the triggering Attack deals an additional +3 Damage.",3/7/2021 0:43:28,3/7/2021 0:43:28
335,Serene Grace,Static,,,,The user’s Effect Range is increased by +2.,3/7/2021 0:43:28,3/7/2021 0:43:28
336,Serpent’s Mark,Static,,,,"Arbok’s Advanced and High Abilities depend on the Arbok’s hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both parents are Arboks with different patterns, flip a coin to decide which pattern is inherited. Pattern Name - Adv Ability / High Ability 1) Attack Pattern - Strong Jaw / Guts 2) Crush Pattern - Crush Trap / Frisk 3) Fear Pattern - Unnerve / Regal Challenge 4) Life Pattern – Regenerator / Defy Death 5) Speed Pattern - Run Away / Speed Boost 6) Stealth Pattern - Infiltrator / Ambush",3/7/2021 0:43:28,3/7/2021 0:43:28
337,Shackle,Scene,Swift Action,,,Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their next turn.,3/7/2021 0:43:28,3/7/2021 0:43:28
338,Shadow Shield,Static,,,,"While at full Hit Points, the user resists all damage one step further.",3/7/2021 0:43:28,3/7/2021 0:43:28
339,Shadow Tag,Scene,Free Action,,An adjacent Trainer or Pokémon,"The target’s shadow becomes pinned to the target’s current spot for 5 turns. During this time, the target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to; even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters from that spot.",3/7/2021 0:43:28,3/7/2021 0:43:28
340,Shed Skin,Scene,Swift Action,,,"The user is cured of one of Paralysis, Freezing, Burns, Poison, or Sleep.",3/7/2021 0:43:28,3/7/2021 0:43:28
341,Sheer Force,Static,,,,"Moves with an Effect Range gain a +10 Bonus to Damage, but Effect Ranges can never be triggered.",3/7/2021 0:43:28,3/7/2021 0:43:28
342,Shell Armor,Static,,,,The user is immune to Critical Hits; they are instead normal hits.,3/7/2021 0:43:28,3/7/2021 0:43:28
343,Shell Cannon,Scene,Free Action,,,"When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun, and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so.",3/7/2021 0:43:28,3/7/2021 0:43:28
344,Shell Shield,Scene,Free Action,,,Connection - Withdraw. The user may activate this Ability to use Withdraw as an Standard Action Interrupt and gain +10 Damage Reduction for 1 full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
345,Shield Dust,Static,,,,"The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the user. For example, Flamethrower can never inflict the Burn Condition.",3/7/2021 0:43:28,3/7/2021 0:43:28
346,Shields Down,Static,,,,"The user has two sets of base stats; Meteor and Core. The HP of both forms must be the same. When the user is in Meteor Forme and becomes Bruised, they change to Core Forme. The user returns to Meteor Forme while outside of combat if not Bruised.",3/7/2021 0:43:28,3/7/2021 0:43:28
347,Silk Threads,Static,,,,"Connection - String Shot. Whenever the user uses String Shot, all targets hit become Slowed and Vulnerable for 1 full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
348,Simple,Static,,,,"When the Pokémon’s Combat Stages are altered, double the amount of Combat Stages they are raised or lowered.",3/7/2021 0:43:28,3/7/2021 0:43:28
349,Skill Link,Scene,Free Action,The user hits with a Move with the Five Strike keyword.,,The Triggering Move automatically hits 5 Times.,3/7/2021 0:43:28,3/7/2021 0:43:28
350,Slow Start,Static,,,,"For 3 rounds after joining an encounter, the user’s Speed and Attack Stats are halved and they have 10 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
351,Slush Rush,Static,,,,"While in Hailing Weather or under half maximum Hit Points, the user’s Initiative is doubled.",3/7/2021 0:43:28,3/7/2021 0:43:28
352,Sniper,Static,,,,"When the Pokémon gets a Critical Hit, add the value of the Damage Dice Roll an additional time to the total damage.",3/7/2021 0:43:28,3/7/2021 0:43:28
353,Snow Cloak,Static,,,,"The user gains +1 Evasion. This is increased to +2 Evasion while in Hail or snowy terrain. While in Hail, the user and adjacent allies do not lose Hit Points due to the Hail.",3/7/2021 0:43:28,3/7/2021 0:43:28
354,Snow Warning,Scene,Free Action,,,The Weather changes to Hail for 5 rounds. As a static effect the user is not damaged by Hail.,3/7/2021 0:43:28,3/7/2021 0:43:28
355,Snuggle,Scene,Standard Action,,An adjacent target,The user and the target each gain two ticks of Temporary Hit Points.,3/7/2021 0:43:28,3/7/2021 0:43:28
356,Sol Veil,Static,,,,"The user gains +1 Evasion. This is increased to +2 Evasion while in Sunny Weather or on grassy terrain. While in Sunny Weather, the user gains +5 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
357,Solar Power,Scene x2 - Swift Action,,The user rolls Damage ,,"The user loses a Tick of Hit Points, and gains a bonus to the triggering damage roll equal to 5 + their Tick Value. Solar Power may be activated ignoring Frequency while in Sunny Weather.",3/7/2021 0:43:28,3/7/2021 0:43:28
358,Solid Rock,Static,,,,The user gains +5 Damage Reduction against Super-Effective damage.,3/7/2021 0:43:28,3/7/2021 0:43:28
359,Sonic Courtship,Scene,Free Action,The user uses Attract,,"Connection - Attract. The user may use Attract as if it had a range of “Burst 3, Sonic, Friendly”.",3/7/2021 0:43:28,3/7/2021 0:43:28
360,Soothing Tone,Static,,,,"Connection - Heal Bell. Whenever the user uses a Move that targets allies, those allies gain temporary Hit Points equal to the user’s",3/7/2021 0:43:28,3/7/2021 0:43:28
361,Sorcery,Static,,,,"The user’s Base Special Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way. ",3/7/2021 0:43:28,3/7/2021 0:43:28
362,Soul Heart,Scene x2,Free Action,,,"Whenever a combatant faints, the user receives +2 Special Attack Combat Stages and gains a tick of Temporary Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
363,Soulstealer,Scene,Free Action,The user’s attack causes a foe to Faint,,"The user removes one Injury from themselves and gains Hit Points equal to 25% of their Max Hit Points. If the triggering attack killed its target, the user instead removes all Injuries and recovers Hit Points equal to 50% of the user’s Max Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
364,Sound Lance,Scene x2,Swift Action,The user uses Supersonic,,Connection – Supersonic. The target of Supersonic loses Hit Points equal to the user’s,3/7/2021 0:43:28,3/7/2021 0:43:28
365,Soundproof,Static,,,,The Pokémon is immune to Moves with the Sonic Keyword.,3/7/2021 0:43:28,3/7/2021 0:43:28
366,Speed Boost,Static,,,,The Pokémon’s Speed is raised 1 Combat Stage at the end of each of its turns. Speed Boost has no effect while out of combat.,3/7/2021 0:43:28,3/7/2021 0:43:28
367,Spike Shot,Static,,,,"The user may use Moves with a Range of “Melee, 1-Target” as if they had a Range of “8, 1-Target” instead.",3/7/2021 0:43:28,3/7/2021 0:43:28
368,Spinning Dance,At-Will,Free Action,"The user is targeted by an attack, but is missed",,"If not Fainted, Paralyzed, or Asleep, the user gains +1 Evasion and may immediately Shift 1 meter.",3/7/2021 0:43:28,3/7/2021 0:43:28
369,Spiteful Intervention,Static,,,,"Connection – Spite. The user may use Spite in response to an attack hitting an ally, in addition to hitting themselves.",3/7/2021 0:43:28,3/7/2021 0:43:28
370,Splendorous Rider,Scene x2,Swift Action,,,"The user may pick a Move from their Mount’s  known Moves that they do not already know. For the  rest of the user’s Turn, they may use that Move as  though it was one of their own Moves. Note that this  does not remove any frequency limitations – a Daily  Move that the Mount knows may not be used more  than once. This Ability may not be copied or transferred.",3/7/2021 0:43:28,3/7/2021 0:43:28
371,Spray Down,Scene x2,Free Action,The user hits an airborne target with a ranged 1-target attack,,"The triggering attack’s target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",3/7/2021 0:43:28,3/7/2021 0:43:28
372,Sprint,Scene,Swift Action,The user uses the Sprint Action during Combat,,The user gains +2 Speed Combat Stages. Bonus: The user’s Overland Speed is increased by +2.,3/7/2021 0:43:28,3/7/2021 0:43:28
373,Stall,Static,,,,"In a round’s queue, a Pokémon with Stall is always last. If a Pokémon goes to the end of the queue, the Pokémon with Stall is still the last to move. The user’s actions taken on their Initiative Count (not Priority or Interrupt) cannot be Interrupted.",3/7/2021 0:43:28,3/7/2021 0:43:28
374,Stalwart,Scene,Free Action,(Reaction) The user receives Massive Damage,,"The user’s Attack, Special Attack, Defense, and Special Defense all increase by one CS. Bonus: The user may not be Intercepted, nor may any Abilities, Moves, or Features be activated to change the user’s target. Any of those existing effects (such as Follow Me) fail.",3/7/2021 0:43:28,3/7/2021 0:43:28
375,Stamina,At-Will,Free Action,,,"Whenever the user is hit by a damaging attack, they receive +1 Defense Combat Stage.",3/7/2021 0:43:28,3/7/2021 0:43:28
376,Stance Change,Static,,,,"Aegislash has two Stances: Shield Stance and Sword Stance. Its default Stance is Shield Stance. Whenever Aegislash uses a damaging attack, it switches to Sword Stance and swaps its Attack Stat with its Defense and its Special Attack Stat with its Special Defense, without changing Combat Stages. Whenever Aegislash uses King’s Shield, Protect, a Status Move that raises Defense Combat Stages, or a Blessing, it switches to Shield Stance and swaps its offensive and defensive Stats back to their original arrangement. Aegislash may also change its Stance as a Full Action.",3/7/2021 0:43:28,3/7/2021 0:43:28
377,Starlight,Daily,Swift Action,,,"The user may activate Starlight while exposed to moonlight or starlight to become Luminous. As a Swift Action, the user may expend the Luminous condition to gain +2 Special Defense CS and +2 Evasion for the rest of the Scene.",3/7/2021 0:43:28,3/7/2021 0:43:28
378,Starswirl,Scene,Swift Action,,,Connection – Rapid Spin. The user may activate this Ability to user Rapid Spin as a Swift Action.,3/7/2021 0:43:28,3/7/2021 0:43:28
379,Steadfast,At-Will,Free Action,The user would be Flinched,,The user’s Speed is raised by +1 Combat Stage. Bonus: The user’s Initiative is increased by +5.,3/7/2021 0:43:28,3/7/2021 0:43:28
380,Steam Engine,Scene x2,Swift Action,"(Reaction) The user is hit by a damaging Fire-Type or  Water-Type Move, or begins their turn in Rainy  Weather",,"Connection – Smokescreen. The user may use  Smokescreen as a Free Action, ignoring frequency, centered on the user.",3/7/2021 0:43:28,3/7/2021 0:43:28
381,Steelworker,Scene,Free Action,The user takes damage while adjacent to its Anchor,,The user calculates damage as if it was only Steel-Typed. Bonus: The user gains STAB on Steel-Type Moves that originate from its Anchor.,3/7/2021 0:43:28,3/7/2021 0:43:28
382,Stench,Static,,,,"The Pokémon’s Moves Flinch Targets on a roll of 18+. If a move already has a chance of Flinching foes, the Effect Range is increased by +3 instead. Whenever the user Flinches a foe with an attack, that foe gains a -2 penalty to Accuracy Rolls for 1 full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
